Year,County,hospital,Surgery,# of Cases,LONGITUDE,LATITUDE
2014,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Pancreas,1,-122.25784,37.85633
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Rectum,1,-122.25784,37.85633
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Prostate,1,-122.25743,37.85645
2015,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Lung,3,-122.25784,37.85633
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Breast,70,-122.25743,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Brain,14,-122.25743,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Stomach,3,-122.25743,37.85645
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Breast,95,-122.25784,37.85633
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Prostate,2,-122.25743,37.85645
2021,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Prostate,3,-122.25743,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Rectum,3,-122.25743,37.85645
2021,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Pancreas,2,-122.25743,37.85645
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Rectum,2,-122.25784,37.85633
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Stomach,2,-122.25743,37.85645
2015,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Brain,3,-122.25784,37.85633
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Breast,74,-122.25784,37.85633
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Brain,15,-122.25743,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Colon,12,-122.25743,37.85645
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Brain,8,-122.25784,37.85633
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Colon,12,-122.25743,37.85645
2013,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Lung,6,-122.25784,37.85633
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Stomach,2,-122.25743,37.85645
2021,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Rectum,10,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Stomach,1,-122.25784,37.85633
2014,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Prostate,3,-122.25784,37.85633
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Breast,60,-122.25743,37.85645
2015,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Liver,1,-122.25784,37.85633
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,Rectum,2,-122.25784,37.85633
2019,Alameda,Highland Hospital,Brain,6,-122.23138,37.79925
2017,Alameda,Highland Hospital,Bladder,1,-122.2312,37.79917
2015,Alameda,Highland Hospital,Lung,4,-122.2312,37.79917
2021,Alameda,Highland Hospital,Liver,5,-122.23138,37.79925
2015,Alameda,Highland Hospital,Prostate,9,-122.2312,37.79917
2019,Alameda,Highland Hospital,Esophagus,1,-122.23138,37.79925
2021,Alameda,Highland Hospital,Breast,57,-122.23138,37.79925
2018,Alameda,Highland Hospital,Stomach,5,-122.23138,37.79925
2014,Alameda,Highland Hospital,Brain,8,-122.2312,37.79917
2014,Alameda,Highland Hospital,Esophagus,1,-122.2312,37.79917
2013,Alameda,Highland Hospital,Breast,34,-122.2312,37.79917
2016,Alameda,Highland Hospital,Lung,7,-122.2312,37.79917
2018,Alameda,Highland Hospital,Bladder,1,-122.23138,37.79925
2021,Alameda,Highland Hospital,Prostate,16,-122.23138,37.79925
2015,Alameda,Highland Hospital,Brain,3,-122.2312,37.79917
2013,Alameda,Highland Hospital,Colon,22,-122.2312,37.79917
2020,Alameda,Highland Hospital,Brain,5,-122.23138,37.79925
2014,Alameda,Highland Hospital,Prostate,7,-122.2312,37.79917
2019,Alameda,Highland Hospital,Liver,6,-122.23138,37.79925
2013,Alameda,Highland Hospital,Prostate,8,-122.2312,37.79917
2018,Alameda,Highland Hospital,Rectum,11,-122.23138,37.79925
2013,Alameda,Highland Hospital,Pancreas,1,-122.2312,37.79917
2019,Alameda,Highland Hospital,Pancreas,3,-122.23138,37.79925
2016,Alameda,Highland Hospital,Breast,53,-122.2312,37.79917
2013,Alameda,Highland Hospital,Rectum,6,-122.2312,37.79917
2017,Alameda,Highland Hospital,Prostate,20,-122.2312,37.79917
2013,Alameda,Highland Hospital,Esophagus,2,-122.2312,37.79917
2020,Alameda,Highland Hospital,Rectum,4,-122.23138,37.79925
2014,Alameda,Highland Hospital,Rectum,4,-122.2312,37.79917
2020,Alameda,Highland Hospital,Bladder,3,-122.23138,37.79925
2016,Alameda,Highland Hospital,Esophagus,3,-122.2312,37.79917
2016,Alameda,Highland Hospital,Prostate,16,-122.2312,37.79917
2018,Alameda,Highland Hospital,Colon,10,-122.23138,37.79925
2019,Alameda,Highland Hospital,Prostate,19,-122.23138,37.79925
2016,Alameda,Highland Hospital,Stomach,2,-122.2312,37.79917
2018,Alameda,Highland Hospital,Breast,37,-122.23138,37.79925
2019,Alameda,Highland Hospital,Breast,36,-122.23138,37.79925
2021,Alameda,Highland Hospital,Bladder,4,-122.23138,37.79925
2016,Alameda,Highland Hospital,Rectum,16,-122.2312,37.79917
2013,Alameda,Highland Hospital,Lung,12,-122.2312,37.79917
2018,Alameda,Highland Hospital,Lung,4,-122.23138,37.79925
2021,Alameda,Highland Hospital,Rectum,4,-122.23138,37.79925
2017,Alameda,Highland Hospital,Esophagus,2,-122.2312,37.79917
2020,Alameda,Highland Hospital,Lung,2,-122.23138,37.79925
2014,Alameda,Highland Hospital,Liver,1,-122.2312,37.79917
2017,Alameda,Highland Hospital,Lung,7,-122.2312,37.79917
2018,Alameda,Highland Hospital,Brain,4,-122.23138,37.79925
2015,Alameda,Highland Hospital,Liver,1,-122.2312,37.79917
2015,Alameda,Highland Hospital,Colon,13,-122.2312,37.79917
2019,Alameda,Highland Hospital,Bladder,4,-122.23138,37.79925
2018,Alameda,Highland Hospital,Prostate,17,-122.23138,37.79925
2014,Alameda,Highland Hospital,Lung,5,-122.2312,37.79917
2013,Alameda,Highland Hospital,Brain,1,-122.2312,37.79917
2020,Alameda,Highland Hospital,Colon,15,-122.23138,37.79925
2016,Alameda,Highland Hospital,Bladder,2,-122.2312,37.79917
2019,Alameda,Highland Hospital,Colon,16,-122.23138,37.79925
2015,Alameda,Highland Hospital,Rectum,3,-122.2312,37.79917
2019,Alameda,Highland Hospital,Stomach,2,-122.23138,37.79925
2019,Alameda,Highland Hospital,Rectum,7,-122.23138,37.79925
2014,Alameda,Highland Hospital,Pancreas,2,-122.2312,37.79917
2015,Alameda,Highland Hospital,Breast,42,-122.2312,37.79917
2015,Alameda,Highland Hospital,Esophagus,1,-122.2312,37.79917
2021,Alameda,Highland Hospital,Brain,8,-122.23138,37.79925
2014,Alameda,Highland Hospital,Breast,44,-122.2312,37.79917
2015,Alameda,Highland Hospital,Stomach,2,-122.2312,37.79917
2017,Alameda,Highland Hospital,Colon,12,-122.2312,37.79917
2020,Alameda,Highland Hospital,Prostate,11,-122.23138,37.79925
2020,Alameda,Highland Hospital,Breast,46,-122.23138,37.79925
2021,Alameda,Highland Hospital,Colon,14,-122.23138,37.79925
2013,Alameda,Highland Hospital,Stomach,3,-122.2312,37.79917
2015,Alameda,Highland Hospital,Pancreas,2,-122.2312,37.79917
2020,Alameda,Highland Hospital,Stomach,3,-122.23138,37.79925
2017,Alameda,Highland Hospital,Rectum,8,-122.2312,37.79917
2021,Alameda,Highland Hospital,Lung,2,-122.23138,37.79925
2020,Alameda,Highland Hospital,Esophagus,1,-122.23138,37.79925
2014,Alameda,Highland Hospital,Colon,20,-122.2312,37.79917
2014,Alameda,Highland Hospital,Stomach,1,-122.2312,37.79917
2016,Alameda,Highland Hospital,Liver,1,-122.2312,37.79917
2021,Alameda,Highland Hospital,Stomach,1,-122.23138,37.79925
2017,Alameda,Highland Hospital,Breast,38,-122.2312,37.79917
2019,Alameda,Highland Hospital,Lung,8,-122.23138,37.79925
2016,Alameda,Highland Hospital,Colon,13,-122.2312,37.79917
2017,Alameda,Highland Hospital,Pancreas,2,-122.2312,37.79917
2017,Alameda,Highland Hospital,Stomach,2,-122.2312,37.79917
2014,Alameda,Kaiser Foundation Hospital – Oakland Campus,Pancreas,11,-122.25792,37.82425
2014,Alameda,Kaiser Foundation Hospital – Oakland Campus,Prostate,15,-122.25792,37.82425
2014,Alameda,Kaiser Foundation Hospital – Oakland Campus,Bladder,13,-122.25792,37.82425
2014,Alameda,Kaiser Foundation Hospital – Oakland Campus,Stomach,10,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Lung,46,-122.25792,37.82425
2014,Alameda,Kaiser Foundation Hospital – Oakland Campus,Lung,20,-122.25792,37.82425
2014,Alameda,Kaiser Foundation Hospital – Oakland Campus,Colon,35,-122.25792,37.82425
2014,Alameda,Kaiser Foundation Hospital – Oakland Campus,Esophagus,10,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Esophagus,14,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Liver,13,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Colon,74,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Breast,293,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Rectum,24,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Stomach,14,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Bladder,21,-122.25792,37.82425
2014,Alameda,Kaiser Foundation Hospital – Oakland Campus,Liver,10,-122.25792,37.82425
2014,Alameda,Kaiser Foundation Hospital – Oakland Campus,Breast,159,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Pancreas,12,-122.25792,37.82425
2014,Alameda,Kaiser Foundation Hospital – Oakland Campus,Rectum,13,-122.25792,37.82425
2013,Alameda,Kaiser Foundation Hospital – Oakland Campus,Prostate,59,-122.25792,37.82425
2014,Alameda,Kaiser Foundation Hospital – Hayward,Bladder,4,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,Lung,21,-122.09338,37.62593
2014,Alameda,Kaiser Foundation Hospital – Hayward,Colon,26,-122.09338,37.62593
2014,Alameda,Kaiser Foundation Hospital – Hayward,Liver,4,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,Colon,43,-122.09338,37.62593
2014,Alameda,Kaiser Foundation Hospital – Hayward,Breast,101,-122.09338,37.62593
2014,Alameda,Kaiser Foundation Hospital – Hayward,Prostate,2,-122.09338,37.62593
2014,Alameda,Kaiser Foundation Hospital – Hayward,Lung,7,-122.09338,37.62593
2014,Alameda,Kaiser Foundation Hospital – Hayward,Pancreas,1,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,Bladder,9,-122.09338,37.62593
2014,Alameda,Kaiser Foundation Hospital – Hayward,Stomach,5,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,Liver,10,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,Breast,194,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,Esophagus,1,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,Rectum,19,-122.09338,37.62593
2014,Alameda,Kaiser Foundation Hospital – Hayward,Rectum,6,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,Pancreas,6,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,Prostate,2,-122.09338,37.62593
2013,Alameda,Kaiser Foundation Hospital – Hayward,Stomach,7,-122.09338,37.62593
2018,Alameda,Kindred Hospital – San Francisco Bay Area,Rectum,1,-122.13119,37.71621
2021,Alameda,Alta Bates Summit Medical Center,Liver,8,-122.26257,37.82106
2018,Alameda,Alta Bates Summit Medical Center,Pancreas,13,-122.26257,37.82106
2015,Alameda,Alta Bates Summit Medical Center,Lung,12,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,Pancreas,6,-122.26257,37.82106
2014,Alameda,Alta Bates Summit Medical Center,Breast,311,-122.26257,37.82106
2015,Alameda,Alta Bates Summit Medical Center,Prostate,15,-122.26257,37.82106
2021,Alameda,Alta Bates Summit Medical Center,Esophagus,6,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center,Prostate,19,-122.26257,37.82106
2021,Alameda,Alta Bates Summit Medical Center,Pancreas,3,-122.26257,37.82106
2014,Alameda,Alta Bates Summit Medical Center,Pancreas,6,-122.26257,37.82106
2019,Alameda,Alta Bates Summit Medical Center,Colon,48,-122.26257,37.82106
2019,Alameda,Alta Bates Summit Medical Center,Lung,26,-122.26257,37.82106
2020,Alameda,Alta Bates Summit Medical Center,Lung,22,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center,Colon,43,-122.26257,37.82106
2020,Alameda,Alta Bates Summit Medical Center,Rectum,22,-122.26257,37.82106
2017,Alameda,Alta Bates Summit Medical Center,Stomach,15,-122.26257,37.82106
2020,Alameda,Alta Bates Summit Medical Center,Breast,259,-122.26257,37.82106
2019,Alameda,Alta Bates Summit Medical Center,Breast,298,-122.26257,37.82106
2015,Alameda,Alta Bates Summit Medical Center,Breast,215,-122.26257,37.82106
2019,Alameda,Alta Bates Summit Medical Center,Stomach,15,-122.26257,37.82106
2021,Alameda,Alta Bates Summit Medical Center,Breast,369,-122.26257,37.82106
2014,Alameda,Alta Bates Summit Medical Center,Prostate,24,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,Breast,292,-122.26257,37.82106
2020,Alameda,Alta Bates Summit Medical Center,Bladder,1,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center,Breast,208,-122.26257,37.82106
2019,Alameda,Alta Bates Summit Medical Center,Esophagus,1,-122.26257,37.82106
2017,Alameda,Alta Bates Summit Medical Center,Liver,7,-122.26257,37.82106
2015,Alameda,Alta Bates Summit Medical Center,Liver,9,-122.26257,37.82106
2015,Alameda,Alta Bates Summit Medical Center,Colon,49,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,Colon,88,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center,Rectum,14,-122.26257,37.82106
2018,Alameda,Alta Bates Summit Medical Center,Liver,9,-122.26257,37.82106
2020,Alameda,Alta Bates Summit Medical Center,Colon,51,-122.26257,37.82106
2018,Alameda,Alta Bates Summit Medical Center,Rectum,28,-122.26257,37.82106
2017,Alameda,Alta Bates Summit Medical Center,Rectum,28,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,Bladder,2,-122.26257,37.82106
2020,Alameda,Alta Bates Summit Medical Center,Pancreas,6,-122.26257,37.82106
2018,Alameda,Alta Bates Summit Medical Center,Stomach,15,-122.26257,37.82106
2021,Alameda,Alta Bates Summit Medical Center,Lung,24,-122.26257,37.82106
2018,Alameda,Alta Bates Summit Medical Center,Colon,63,-122.26257,37.82106
2019,Alameda,Alta Bates Summit Medical Center,Bladder,5,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center,Esophagus,2,-122.26257,37.82106
2017,Alameda,Alta Bates Summit Medical Center,Lung,23,-122.26257,37.82106
2014,Alameda,Alta Bates Summit Medical Center,Liver,7,-122.26257,37.82106
2015,Alameda,Alta Bates Summit Medical Center,Pancreas,2,-122.26257,37.82106
2017,Alameda,Alta Bates Summit Medical Center,Breast,303,-122.26257,37.82106
2018,Alameda,Alta Bates Summit Medical Center,Prostate,25,-122.26257,37.82106
2014,Alameda,Alta Bates Summit Medical Center,Lung,15,-122.26257,37.82106
2015,Alameda,Alta Bates Summit Medical Center,Esophagus,1,-122.26257,37.82106
2018,Alameda,Alta Bates Summit Medical Center,Bladder,1,-122.26257,37.82106
2017,Alameda,Alta Bates Summit Medical Center,Esophagus,6,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center,Pancreas,10,-122.26257,37.82106
2017,Alameda,Alta Bates Summit Medical Center,Prostate,25,-122.26257,37.82106
2020,Alameda,Alta Bates Summit Medical Center,Stomach,15,-122.26257,37.82106
2018,Alameda,Alta Bates Summit Medical Center,Lung,31,-122.26257,37.82106
2015,Alameda,Alta Bates Summit Medical Center,Rectum,7,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center,Stomach,11,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,Liver,13,-122.26257,37.82106
2014,Alameda,Alta Bates Summit Medical Center,Rectum,13,-122.26257,37.82106
2017,Alameda,Alta Bates Summit Medical Center,Pancreas,6,-122.26257,37.82106
2020,Alameda,Alta Bates Summit Medical Center,Liver,6,-122.26257,37.82106
2019,Alameda,Alta Bates Summit Medical Center,Pancreas,6,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,Prostate,11,-122.26257,37.82106
2020,Alameda,Alta Bates Summit Medical Center,Esophagus,6,-122.26257,37.82106
2013,Alameda,Alta Bates Summit Medical Center,Liver,7,-122.26257,37.82106
2021,Alameda,Alta Bates Summit Medical Center,Stomach,5,-122.26257,37.82106
2021,Alameda,Alta Bates Summit Medical Center,Colon,48,-122.26257,37.82106
2019,Alameda,Alta Bates Summit Medical Center,Rectum,22,-122.26257,37.82106
2018,Alameda,Alta Bates Summit Medical Center,Breast,345,-122.26257,37.82106
2021,Alameda,Alta Bates Summit Medical Center,Rectum,27,-122.26257,37.82106
2020,Alameda,Alta Bates Summit Medical Center,Prostate,24,-122.26257,37.82106
2017,Alameda,Alta Bates Summit Medical Center,Colon,69,-122.26257,37.82106
2021,Alameda,Alta Bates Summit Medical Center,Prostate,17,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,Esophagus,2,-122.26257,37.82106
2019,Alameda,Alta Bates Summit Medical Center,Prostate,37,-122.26257,37.82106
2018,Alameda,Alta Bates Summit Medical Center,Esophagus,5,-122.26257,37.82106
2019,Alameda,Alta Bates Summit Medical Center,Liver,4,-122.26257,37.82106
